,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POS,VARIACION,,JUGADOR,PUNTOS,HCP,TORNEOS,PROCEDENCIA,TARJETA 15,PUNTOS QUE PIERDE,TARJETA 16,,,,,,,,,,,,,,,,,,,,,CAMBIOS
CASALIS CRISTIAN,82,?,0,BRAS NELSON ANTONIO (42),696.63,6,10,BAHIA BLANCA (BA),0.00,53.73,0.00,49,,,,,,,,,,,,,,,,,,,,0
IBARRA MAURICIO EDGAR,83,?,0,RODRIGUEZ NESTOR (55),694.27,8,15,OLAVARRIA (BA),25.37,0.00,21.47,52,,,,,,,,,,,,,,,,,,,,0
COLOMBO DAMIAN,84,?,0,STRACQUALURSI DENIS (37),693.50,5,9,RAFAELA (SF),0.00,0.00,0.00,31,,,,,,,,,,,,,,,,,,,,0
CUVILLIER CRISTIAN,85,?,0,AYALA JOSE RODRIGO (39),688.65,6,9,BELLA ITALIA (SF),0.00,0.00,0.00,40,,,,,,,,,,,,,,,,,,,,0
BOERO MARIO,86,?,0,WASINGER DAMIAN (32),677.99,1,10,MARIA JUANA (SF),0.00,0.00,0.00,44,,,,,,,,,,,,,,,,,,,,0
TETTAMANZI GUILLERMO,87,?,0,PEREZ DIEGO OMAR (50),677.35,7,10,TANDIL (BA),0.00,0.00,0.00,41,,,,,,,,,,,,,,,,,,,,0
CASONI ALBANO,88,?,0,BARRIONUEVO MARCOS (44),668.34,4,8,TANDIL (BA),0.00,0.00,0.00,48,,,,,,,,,,,,,,,,,,,,0
CACERES BENITEZ HENRY,89,?,0,GONZALEZ CLAUDIO (62),654.43,5,7,ROSARIO (SF),0.00,0.00,0.00,40,,,,,,,,,,,,,,,,,,,,0
DEZZUTTO ANDRES,90,?,0,TEBES JORGE (37),641.20,8,15,BAHIA BLANCA (BA),24.23,0.00,24.23,44,,,,,,,,,,,,,,,,,,,,0
GARCILAZO GUSTAVO,91,?,0,BAUMAN DANIEL (40),640.68,6,9,SUNCHALES (SF),0.00,0.00,0.00,54,,,,,,,,,,,,,,,,,,,,0
